District,Code
Gadchiroli,MH10
Gondia,MH11
Hingoli,MH12
Jalgaon,MH13
Jalna,MH14
Kolhapur,MH15
Latur,MH16
Mumbai City,MH17
Mumbai suburban,MH18
Nanded,MH20
Nandurbar,MH21
Nagpur,MH19
Nashik,MH22
Osmanabad,MH23
Palghar,MH24
Parbhani,MH25
Pune,MH26
Raigad,MH27
Ratnagiri,MH28
Sangli,MH29
Satara,MH30
Sindhudurg,MH31
Solapur,MH32
Thane,MH33
Wardha,MH34
Washim,MH35
Yavatmal,MH36
Bishnupur,MN01
Chandel,MN02
Churachandpur,MN03
Imphal East,MN04
Imphal West,MN05
Jiribam,MN06
Kakching,MN07
Kamjong,MN08
Kangpokpi,MN09
Noney,MN10
Pherzawl,MN11
Senapati,MN12
Tamenglong,MN13
Tengnoupal,MN14
Thoubal,MN15
Ukhrul,MN16
East Garo Hills,ML01
East Khasi Hills,ML03
East Jaintia Hills,ML02
North Garo Hills,ML04
Ri Bhoi,ML05
South Garo Hills,ML06
South West Garo Hills,ML07
South West Khasi Hills,ML08
West Jaintia Hills,ML10
West Garo Hills,ML09
West Khasi Hills,ML11
Aizawl,MZ01
Champhai,MZ02
Hnahthial,MZ03
Khawzawl,MZ04
Kolasib,MZ05
Lawngtlai,MZ06
Lunglei,MZ07
Mamit,MZ08
Saiha,MZ09
Saitual,MZ10
Serchhip,MZ11
Dimapur,NL01
Kiphire,NL02
Kohima,NL03
Longleng,NL04
Mokokchung,NL05
Mon,NL06
Noklak,NL07
Peren,NL08
Phek,NL09
Tuensang,NL10
Wokha,NL11
Zunheboto,NL12
Angul,OR01
Boudh (Bauda),OR06
Bhadrak,OR05
Balangir,OR02
Bargarh (Baragarh),OR04
Balasore,OR03
Cuttack,OR07
Debagarh (Deogarh),OR08
Dhenkanal,OR09
Ganjam,OR11
Gajapati,OR10
Jharsuguda,OR14
Jajpur,OR13
Jagatsinghpur,OR12
Khordha,OR19
Kendujhar,OR18
Kalahandi,OR15
Kandhamal,OR16
Koraput,OR20
Kendrapara,OR17
Malkangiri,OR21
Mayurbhanj,OR22
Nabarangpur,OR23
Nuapada,OR25
Nayagarh,OR24
Puri,OR26
Rayagada,OR27
Sambalpur,OR28
Subarnapur (Sonepur),OR29
Sundargarh,OR30
Amritsar,PB01
Barnala,PB02
Bathinda,PB03
Firozpur,PB07
Faridkot,PB04
Fatehgarh Sahib,PB05
Fazilka,PB06
Gurdaspur,PB08
Hoshiarpur,PB09
Jalandhar,PB10
Kapurthala,PB11
Ludhiana,PB12
Malerkotla,PB13
Mansa,PB14
Moga,PB15
Sri Muktsar Sahib,PB22
Pathankot,PB16
Patiala,PB17
Rupnagar,PB18
Sahibzada Ajit Singh Nagar,PB19
Sangrur,PB20
Shahid Bhagat Singh Nagar,PB21
Tarn Taran,PB23
Ajmer,RJ01
Alwar,RJ02
Bikaner,RJ08
Barmer,RJ05
Banswara,RJ03
Bharatpur,RJ06
Baran,RJ04
Bundi,RJ09
Bhilwara,RJ07
Churu,RJ11
Chittorgarh,RJ10
Dausa,RJ12
Dholpur,RJ13
Dungarpur,RJ14
Sri Ganganagar,RJ31
Hanumangarh,RJ15
Jhunjhunu,RJ20
Jalore,RJ18
Jodhpur,RJ21
Jaipur,RJ16
Jaisalmer,RJ17
Jhalawar,RJ19
Karauli,RJ22
Kota,RJ23
Nagaur,RJ24
Pali,RJ25
Pratapgarh,RJ26
Rajsamand,RJ27
Sikar,RJ29
Sawai Madhopur,RJ28
Sirohi,RJ30
Tonk,RJ32
Udaipur,RJ33
East Sikkim,SK01
North Sikkim,SK02
South Sikkim,SK03
West Sikkim,SK04
Ariyalur,TN01
Chengalpattu,TN02
Chennai,TN03
Coimbatore,TN04
Cuddalore,TN05
Dharmapuri,TN06
Dindigul,TN07
Erode,TN08
Kallakurichi,TN09
Kanchipuram,TN10
Kanyakumari,TN11
Karur,TN12
Krishnagiri,TN13
Madurai,TN14
Mayiladuthurai,TN15
Nagapattinam,TN16
Nilgiris,TN18
Namakkal,TN17
Perambalur,TN19
Pudukkottai,TN20
Ramanathapuram,TN21
Ranipet,TN22
Salem,TN23
Sivaganga,TN24
Tenkasi,TN25
Tiruppur,TN32
Tiruchirappalli,TN29
Theni,TN27
Tirunelveli,TN30
Thanjavur,TN26
Thoothukudi,TN28
Tirupattur,TN31
Tiruvallur,TN33
Tiruvarur,TN35
Tiruvannamalai,TN34
Vellore,TN36
Viluppuram,TN37
Virudhunagar,TN38
Adilabad,TG01
Komaram Bheem,TG11
Bhadradri Kothagudem,TG02
Hyderabad,TG03
Jagtial,TG04
Jangaon,TG05
Jayashankar Bhupalpally,TG06
Jogulamba Gadwal,TG07
Kamareddy,TG08
Karimnagar,TG09
Khammam,TG10
Mahabubabad,TG12
Mahbubnagar,TG13
Mancherial,TG14
Medak,TG15
Medchal–Malkajgiri,TG16
Mulugu,TG17
Nalgonda,TG19
Narayanpet,TG20
Nagarkurnool,TG18
Nirmal,TG21
Nizamabad,TG22
Peddapalli,TG23
Rajanna Sircilla,TG24
Ranga Reddy,TG25
Sangareddy,TG26
Siddipet,TG27
Suryapet,TG28
Vikarabad,TG29
Wanaparthy,TG30
Warangal Urban,TG32
Warangal Rural,TG31
Yadadri Bhuvanagiri,TG33
Dhalai,TR01
Gomati,TR02
Khowai,TR03
North Tripura,TR04
Sepahijala,TR05
South Tripura,TR06
Unokoti,TR07
West Tripura,TR08
Agra,UP01
Aligarh,UP02
Allahabad,UP03
Ambedkar Nagar,UP04
Amethi,UP05
Amroha,UP06
Auraiya,UP07
Azamgarh,UP08
Bagpat,UP09
Bahraich,UP10
Ballia,UP11
Balrampur,UP12
Banda,UP13
Barabanki,UP14
Bareilly,UP15
Basti,UP16
Bhadohi,UP17
Bijnor,UP18
Budaun,UP19
Bulandshahr,UP20
Chandauli,UP21
Chitrakoot,UP22
Deoria,UP23
Etah,UP24
Etawah,UP25
Faizabad,UP26
Farrukhabad,UP27
Fatehpur,UP28
Firozabad,UP29
Gautam Buddh Nagar,UP30
Ghaziabad,UP31
Ghazipur,UP32
Gonda,UP33
Gorakhpur,UP34
Hamirpur,UP35
Hapur,UP36
Hardoi,UP37
Hathras,UP38
Jalaun,UP39
Jaunpur,UP40
Jhansi,UP41
Kannauj,UP42
Kanpur Dehat,UP43
Kanpur Nagar,UP44
Kasganj,UP45
Kaushambi,UP46
Kushinagar,UP47
Lakhimpur Kheri,UP48
Lalitpur,UP49
Lucknow,UP50
Maharajganj,UP51
Mahoba,UP52
Mainpuri,UP53
Mathura,UP54
Mau,UP55
Meerut,UP56
Mirzapur,UP57
Moradabad,UP58
Muzaffarnagar,UP59
Pilibhit,UP60
Pratapgarh,UP61
Raebareli,UP62
Rampur,UP63
Saharanpur,UP64
Sambhal,UP65
Sant Kabir Nagar,UP66
Shahjahanpur,UP67
Shamli,UP68
Shravasti,UP69
Siddharthnagar,UP70
Sitapur,UP71
Sonbhadra,UP72
Sultanpur,UP73
Unnao,UP74
Varanasi,UP75
Almora,UK01
Bageshwar,UK02
Chamoli,UK03
Champawat,UK04
Dehradun,UK05
Haridwar,UK06
Nainital,UK07
Pauri Garhwal,UK08
Pithoragarh,UK09
Rudraprayag,UK10
Tehri Garhwal,UK11
Udham Singh Nagar,UK12
Uttarkashi,UK13
Alipurduar,WB01
Bankura,WB02
Paschim Bardhaman,WB17
Purba Bardhaman,WB19
Birbhum,WB03
Cooch Behar,WB04
Dakshin Dinajpur,WB05
Darjeeling,WB06
Hooghly,WB07
Howrah,WB08
Jalpaiguri,WB09
Jhargram,WB10
Kalimpong,WB11
Kolkata,WB12
Maldah,WB13
Murshidabad,WB14
Nadia,WB15
North 24 Parganas,WB16
Paschim Medinipur,WB18
Purba Medinipur,WB20
Purulia,WB21
South 24 Parganas,WB22
Uttar Dinajpur,WB23
Nicobar,AN01
North and Middle Andaman,AN02
South Andaman,AN03
Chandigarh,CH01
Daman,DD02
Diu,DD03
Dadra and Nagar Haveli,DD01
Anantnag,JK01
Budgam,JK04
Bandipora,JK02
Baramulla,JK03
Doda,JK05
Ganderbal,JK06
Jammu,JK07
Kathua,JK08
Kishtwar,JK09
Kulgam,JK10
Kupwara,JK11
Poonch,JK12
Pulwama,JK13
Rajouri,JK14
Ramban,JK15
Reasi,JK16
Samba,JK17
Shopian,JK18
Srinagar,JK19
Udhampur,JK20
Kargil,LA01
Leh,LA02
Lakshadweep,LD01
Central Delhi,DL01
East Delhi,DL02
New Delhi,DL03
North Delhi,DL04
North East Delhi,DL05
North West Delhi,DL06
Shahdara,DL07
South Delhi,DL08
South East Delhi,DL09
South West Delhi,DL10
West Delhi,DL11
Karaikal,PY01
Mahé,PY02
Puducherry,PY03
Yanam,PY04
